baseYm,signguCd,signguNm,ageGrp,visitorCo,cityType
202607,11110,서울 종로구,20대 이하,11316,도시1
202607,11110,서울 종로구,20대,25870,도시1
202607,11110,서울 종로구,30대,18721,도시1
202607,11110,서울 종로구,40대,9165,도시1
202607,11110,서울 종로구,50대,6129,도시1
202607,11110,서울 종로구,60대 이상,3799,도시1
202607,11440,서울 마포구,20대 이하,12774,도시1
202607,11440,서울 마포구,20대,29605,도시1
202607,11440,서울 마포구,30대,21330,도시1
202607,11440,서울 마포구,40대,10197,도시1
202607,11440,서울 마포구,50대,6718,도시1
202607,11440,서울 마포구,60대 이상,4376,도시1
202607,26000,부산 해운대구,20대 이하,11282,도시1
202607,26000,부산 해운대구,20대,26628,도시1
202607,26000,부산 해운대구,30대,18717,도시1
202607,26000,부산 해운대구,40대,8860,도시1
202607,26000,부산 해운대구,50대,5674,도시1
202607,26000,부산 해운대구,60대 이상,3839,도시1
202607,39110,제주 제주시,20대 이하,11895,도시1
202607,39110,제주 제주시,20대,27827,도시1
202607,39110,제주 제주시,30대,20234,도시1
202607,39110,제주 제주시,40대,9579,도시1
202607,39110,제주 제주시,50대,6383,도시1
202607,39110,제주 제주시,60대 이상,4082,도시1
202607,32170,강원 삼척시,20대 이하,2532,도시2
202607,32170,강원 삼척시,20대,3682,도시2
202607,32170,강원 삼척시,30대,5069,도시2
202607,32170,강원 삼척시,40대,6316,도시2
202607,32170,강원 삼척시,50대,4350,도시2
202607,32170,강원 삼척시,60대 이상,3051,도시2
202607,37110,경북 안동시,20대 이하,3044,도시2
202607,37110,경북 안동시,20대,4512,도시2
202607,37110,경북 안동시,30대,5987,도시2
202607,37110,경북 안동시,40대,7455,도시2
202607,37110,경북 안동시,50대,5421,도시2
202607,37110,경북 안동시,60대 이상,3581,도시2
202607,36110,전남 여수시,20대 이하,3501,도시2
202607,36110,전남 여수시,20대,5268,도시2
202607,36110,전남 여수시,30대,7036,도시2
202607,36110,전남 여수시,40대,8746,도시2
202607,36110,전남 여수시,50대,6328,도시2
202607,36110,전남 여수시,60대 이상,4121,도시2
202607,31110,경기 수원시,20대 이하,3893,도시2
202607,31110,경기 수원시,20대,6146,도시2
202607,31110,경기 수원시,30대,8067,도시2
202607,31110,경기 수원시,40대,9910,도시2
202607,31110,경기 수원시,50대,7150,도시2
202607,31110,경기 수원시,60대 이상,4834,도시2
202607,31140,경기 성남시,20대 이하,4894,일반
202607,31140,경기 성남시,20대,7500,일반
202607,31140,경기 성남시,30대,10055,일반
202607,31140,경기 성남시,40대,12620,일반
202607,31140,경기 성남시,50대,8965,일반
202607,31140,경기 성남시,60대 이상,5966,일반
202607,32010,강원 춘천시,20대 이하,5065,일반
202607,32010,강원 춘천시,20대,7358,일반
202607,32010,강원 춘천시,30대,10095,일반
202607,32010,강원 춘천시,40대,12440,일반
202607,32010,강원 춘천시,50대,9096,일반
202607,32010,강원 춘천시,60대 이상,5946,일반
202607,34110,충남 천안시,20대 이하,4036,일반
202607,34110,충남 천안시,20대,5932,일반
202607,34110,충남 천안시,30대,7987,일반
202607,34110,충남 천안시,40대,9987,일반
202607,34110,충남 천안시,50대,7226,일반
202607,34110,충남 천안시,60대 이상,4832,일반
202607,35110,전북 전주시,20대 이하,5511,일반
202607,35110,전북 전주시,20대,8346,일반
202607,35110,전북 전주시,30대,10873,일반
