RNUM,PUBLISHER,COLLECTIONDB,CREATOR,TITLE,ALTERNATIVETITLE,ISSUEDDATE,MODIFIEDDATE,SUBJECT,SUBJECTKEYWORD,FORMAT,DESCRIPTION,LANGUAGE,REFERENCEIDENTIFIER,LOCALID,UCI,URL,CONTEXTNAME,REGDATE,INSERTDATE,SUBDESCRIPTION,VIEWCNT,HASPART,PERSON,RIGHTS,TEMPORALCOVERAGE,VENUE,CREATEDDATE,SUBJECTCATEGORY,SPATIAL,REFERENCE,CHARGE,AFFILIATION,STATE,CONTRIBUTOR,EXTENT,GRADE,PERIOD,TIME,TABLEOFCONTENTS,SPATIALCOVERAGE
"1","1371000","추천여행지","대한민국 정책브리핑","대관령으로 떠나는 무해한 여행","","20250228143312","","","","","<p>&nbsp; 평창군과 강릉시 경계에 있는 해발 832m의 고개, 대관령 일대는 풍경도 기후도 남다르다. 우리나라에서 보기 드문 넓은 고원지대가 펼쳐지고 다른 지역보다 기온이 낮고 눈이 많이 내리며 바람은 강한 편이다. 이런 지형적, 기후적 조건을 바탕으로 목장과 스키장, 풍력발전단지가 어우러지는 대관령만의 이국적인 풍경이 완성됐다. 올해 7회를 맞이한 &lsquo;한국관광 100선&rsquo;에서 대관령은 5회 연속 선정된 우수 관광지다. 대관령에는 크고 작은 목장이 여럿 있는데 그중 삼양라운드힐과 하늘목장, 대관령양떼목장이 3대 목장으로 꼽힌다. 삼양라운드힐은 서울 여의도 면적 약 7배에 달하는 압도적인 규모와 시원한 전망으로, 하늘목장은 사계절 운영하는 트랙터 마차와 희귀 양인 발레 블랙노즈(Valais Blacknose) 양 등으로 차별화를 꾀한다. 대관령양떼목장은 인기 포토존인 나무 움막이 매력 포인트다. 국내 대표 스키장이자 2018 평창 동계올림픽 경기장으로 사용된 모나용평과 알펜시아리조트도 대관령에 자리한다.&nbsp;</p> <p><br /></p> <p>&nbsp; 대관령에는 다양한 주제의 체험 공간도 가득하다. 동계올림픽을 추억하고 동계스포츠를 체험하는 평창올림픽기념관(2018 평창 동계올림픽대회 및 동계패럴림픽대회 기념관), 대관령의 신선한 우유로 치즈를 만들어보는 바람마을 치즈체험장, 전 세계 각종 인형을 전시하는 비엔나인형박물관 등이 있다.</p>","","","182","1044","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1044","","2026-06-02","2025-03-01","","689","","","","","","2026-06-01 00:30:00","Y","11","대관령관광안내센터 033-330-2799","","","11","","","","","","","강원 평창군 대관령면"
"2","1371000","추천여행지","대한민국 정책브리핑","분단을 넘어 평화의 시대를 꿈꾸다, 파주 임진각과 DMZ 생생누리","","20250228143208","","","","","<p>&nbsp; DMZ 접경지역에 있는 파주 임진각(평화누리공원)은 전쟁의 아픔과 평화의 소중함을 일깨우는 관광지로 꾸준히 &lsquo;한국관광 100선&rsquo;에 이름을 올리고 있다. 이곳에는 실향민들이 고향을 바라보던 임진각과 망배단, 전쟁으로 파괴된 임진강 독개다리, 총탄 자국이 선명한 장단역 증기기관차 등이 남아 있고, 알록달록한 바람개비 언덕과 임진강변생태탐방로가 조성되어 있다.&nbsp;</p> <p><br /></p> <p>&nbsp; 철책 너머로 이어지는 임진각평화곤돌라는 민통선을 넘는 특별한 이동 수단이다. 곤돌라에서 내려 미군 주둔 시설이었던 캠프 그리브스를 방문하면 가이드 투어(70분)를 통해 탄약고, 숙소, 전시관 등을 관람할 수 있다. &lsquo;2025-2026 한국관광100선&rsquo;에 선정된 DMZ 생생누리에서는 디지털 기술로 구현된 DMZ의 역사와 생태환경을 체험할 수 있다. VR 드론 라이더, DMZ 비밀의 숲, 미디어아트 전시 등이 있으며, 곤돌라 이용객은 할인 혜택을 받을 수 있다. DMZ 평화관광은 한반도생태평화 종합관광센터에서 출발하며 셔틀버스를 타고 제3땅굴, 도라전망대, 통일촌을 둘러보는 약 3시간짜리 코스로 진행된다.&nbsp;</p> <p><br /></p> <p>&nbsp; 인근 명소로는 헤이리 예술마을과 파주출판도시가 있다. 라이브 드로잉 대가 김정기 뮤지엄, 포르투갈 건축가 알바로 시자가 설계한 미메시스 아트 뮤지엄을 둘러보자. 지혜의 숲에서는 거대한 서가에서 자유롭게 독서를 즐길 수 있으며, 출판도시 활판인쇄박물관에서는 직접 활자를 골라 인쇄해 볼 수 있는 체험을 하며 남은 시간을 알차게 보낼 수 있다.</p>","","","182","1043","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1043","","2026-06-02","2025-03-01","","469","","","","","","2026-06-01 00:30:00","Y","19","파주시청 관광과 031-940-5197","","","10","","","","","","","경기 파주시 문산읍"
"3","1371000","추천여행지","대한민국 정책브리핑","악동에서 영웅으로 인간 이순신을 만나다, 아산 현충사","","20250228143512","","","","","<p>&nbsp; 이순신은 한국인이 존경하는 인물을 꼽을 때 늘 1, 2위에 오르는 인물이다. 현충사는 충무공 이순신을 기리는 사당이다. 사당을 가장 위에 두고 그 아래로 고택, 활터, 구 현충사 건물, 정려, 기념관 등이 모여 있다. 경내에 들어서면 맨 처음 나오는 충무공이순신기념관에서는 이순신의 업적과 함께 흥미로운 사실을 알게 된다. 참외를 주지 않는다고 참외밭을 망쳐버린 악동, 무과 시험에 실패하고 좌절하던 청년, 백의종군하던 중 어머니의 죽음에 괴로워 울던 효자 등 이순신의 인간적인 면모를 모두 만날 수 있다. 현충사 현판, 이순신 영정, 난중일기, 장검, 서간첩과 교서 등 국보로 지정된 전시물도 여러 개다. 현충사는 올해 처음으로 &lsquo;한국관광 100선&rsquo;에 선정되기도 했다.&nbsp;</p> <p><br /></p> <p>&nbsp; 아산여행에서 온천을 빼면 허전하다. 세종대왕이 다녀간 후 현종, 숙종, 영조, 정조까지 왕들이 사랑한 온양온천은 &lsquo;왕실 온천&rsquo;이라 불리기에 충분하다. 온양민속박물관은 감각적인 전시와 행사로 몇 해 전부터 핫한 여행지로 꼽힌다. 세계꽃식물원은 사계절 내내 싱그러운 녹음과 화사한 꽃으로 여행자를 맞아준다. 마지막 여행지는 아산 공세리성당이다. 소박한 조명과 꼬마전구가 고요한 밤의 운치를 더한다.&nbsp;</p> <div><br /></div>","","","182","1045","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1045","","2026-06-02","2025-03-01","","417","","","","","","2026-06-01 00:30:00","Y","04","현충사 관리소 041-539-4600","","","13","","","","","","","충남 아산시 염치읍"
"4","1371000","추천여행지","대한민국 정책브리핑","한의학의 성지 산청 동의보감촌으로 떠난 면역력 충전 여행","","20250228144002","","","","","<p>&nbsp; 겨우내 움츠렸던 몸과 마음에 충전이 절실한 요즘, 산청 동의보감촌으로 떠나보자. 지리산 천왕봉을 지붕으로 둔 산청(山淸)은 이름 그대로 산 좋고 물 맑은 고장이다. 산청 땅에 발을 내딛는 순간 다디단 공기가 느껴지고, 도시에 찌든 스트레스가 한방에 사라진다. 지리산 자락에서 자라는 1,000여 종의 약초로 만든 건강한 음식은 면역력을 높여준다. 그 중심에 허준의 동의보감을 테마로 한 산청 동의보감촌이 있다. 올해 처음으로 &lsquo;한국관광 100선&rsquo;에 선정됐다. 허준의 &lsquo;동의보감&rsquo;에서 이름을 딴 산청 동의보감촌은 그 정신과 산청 약초의 우수성을 느낄 수 있는 곳이다. 엑스포주제관을 비롯해 한의학박물관, 한방기체험장, 한방테마공원, 산청약초관, 허준순례길, 한방자연휴양림, 무릉교 등 여러 시설이 거대한 공원으로 꾸며졌다. 거기다 한방을 주제로 한 다양한 체험과 약초밥상까지 즐길 거리가 가득하다. 꼼꼼히 즐기고 나면 백 세까지 거뜬히 살 것 같이 기운이 솟는다.</p> <p><br /></p> <p>&nbsp; 산청 동의보감촌 맨 위쪽에 한방자연휴양림이 자리한다. 백두대간의 정기가 모여드는 명당이라 하룻밤 숙면과 함께 개운한 아침을 보장한다. 고요한 산청 동의보감촌의 아침을 통째로 누리는 특권도 주어진다.&nbsp;</p> <p><br /></p> <p>&nbsp; 때 묻지 않은 청정자연과 오랜 세월이 켜켜이 쌓인 산청은 곳곳이 면역력 강화 여행지다. 빼곡한 고가와 돌담길이 아름다운 남사예담촌, 젊은 세대 사이에 카페 같은 절집으로 소문이 자자한 수선사, 문익점 선생이 우리 땅에 목화 씨앗을 들여와 처음으로 재배했다는 목면시배유지 등 발길마다 봄기운이 가득하다.&nbsp;</p>","","","182","1046","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1046","","2026-06-02","2025-03-01","","543","","","","","","2026-06-01 00:30:00","Y","17","산청 동의보감촌 055-970-7216","","","17","","","","","","","경남 산청군 금서면"
"5","1371000","추천여행지","대한민국 정책브리핑","전통과 예술, 아날로그 감성이 버무려진 남원 봄 여행","","20250228144605","","","","","<p>&nbsp; 새로운 책장을 넘기듯 봄기운이 깃든다. 남원은 춘향전의 이야기가 녹아있으며 아날로그 감성과 벚꽃길의 아름다움을 만끽할 수 있는 곳이다. 남원 중심부를 흐르는 요천의 서쪽에는 광한루원, 동쪽에는 남원관광단지가 자리한다. 3~4월에는 요천벚꽃길에 벚꽃이 터널을 이루며, 밤이면 청사초롱이 고즈넉한 분위기를 만든다. 광한루원과 남원관광단지 두 곳 모두 &lsquo;2025-2026 한국관광 100선&rsquo;에 선정됐다. 광한루원은 춘향전의 공간적 배경으로, 삼신섬이 있는 연못과 오작교가 동양적 자연미를 자아낸다. 춘향사당과 월매집 등 춘향전 관련 명소가 곳곳에 자리하며, 밤이 되면 조명과 함께 완월정의 야경이 황홀한 분위기를 연출한다. 저녁 6시 이후에는 무료로 개방되어 잠시 들러보기 좋다.</p> <p><br /></p> <p>&nbsp; 요천을 건너 남원관광단지로 들어서면 가장 먼저 심수관도예전시관을 만난다. 정유재란 당시 일본으로 끌려간 조선 도공들의 역사를 간직한 이곳에서는 심수관의 도자기 작품과 사쓰마 도자기의 유래를 살펴볼 수 있다. 관광단지 내 춘향테마파크는 춘향전을 테마로 한 공간으로, 다양한 전시물을 통해 춘향과 몽룡의 사랑 이야기를 체험할 수 있다. 춘향전의 도시 남원에서 색다른 경험을 원한다면 남원항공우주천문대를 추천한다. 드론 비행 체험, VR 체험장, 천체투영실 등의 다양한 프로그램이 마련되어 있으며, 주관측실에서는 태양과 천체 관측이 가능하다.</p> <p><br /></p> <p>&nbsp; 남원다움관은 남원의 과거와 현재를 기록한 공간으로, 1970~80년대 다방과 만화방을 재현한 전시가 흥미롭다. 가상의 공간에서 남원의 주요 명소를 둘러볼 수 있는 인력거 체험도 인상적이다. 명지각 사랑채는 한옥호텔 명지각 1956의 카페로 독특한 분위기를 자아낸다. 남원시립김병종미술관은 남원 출신 화가 김병종의 작품을 전시하는 곳으로 미술관 자체가 하나의 예술 작품이다. 시즌마다 전시가 바뀌어 여러 번 찾아도 새로운 감상을 제공한다.</p>","","","182","1047","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1047","","2026-06-02","2025-03-01","","617","","","","","","2026-06-01 00:30:00","Y","05","남원시종합관광안내센터 063-632-1330","","","14","","","","","","","전북 남원시 어현동, 천거동"
"6","1371000","추천여행지","대한민국 정책브리핑","단양팔경에 마늘 더하기! 단양구경시장 마늘 요리 열전","","20250123132518","","","","","<p>단양팔경은 전국의 팔경 가운데 손꼽는다. &lsquo;제2단양팔경&rsquo;까지 있는걸 보면 단양의 자부심을 알 만하다. 단양구경시장은 단양 8경에 더한 1경이라 해 구경이다. 시장 구경이라는 중의적 의미도 있다. 약 120개 매장이 모여 이뤄진 상설재래시장으로 단양전통시장이 전신이다. 요즘 들어서는 &lsquo;먹방 여행&rsquo;을 선호하는 젊은 여행객이 북적댄다.</p> <p><br /></p> <p>단양구경시장의 인기를 주도하는 건 넷플릭스 &lsquo;흑백요리사&rsquo;의 최현석 셰프가 봉골레 파스타에서 빼먹고 요리했다던 바로 그 마늘이다. 단양은 석회지역의 약산성 토양과 산지마을의 큰 일교차로 육쪽마늘이 유명하다. 알이 단단하고 맛과 향이 특별한 한지형 토종 마늘이다. 단양구경시장은 마늘이 들어간 먹을거리로 시장 음식을 특화했다. 흑마늘닭강정을 필두로 마늘빵, 마늘순대, 마늘만두, 마늘갈비 등 시장의 간판마다 &lsquo;마늘&rsquo;이 접두어처럼 따라붙는다. 같은 마늘도 종류마다, 가게마다 달라 골라 먹는 재미가 있다. 큼지막하게 썰어내는 시식용 먹을거리도 시장의 인심을 더한다. 일부 맛집은 주말에는 줄 서는 건 기본. 그저 위가 하나이고 점점 배가 불러오는 게 아쉬울 따름이다. 몇몇 가게는 주말에만 문을 열기도 한다.&nbsp;</p> <p><br /></p> <p>새롭게 단양팔경을 꼽는다면 1공의 후보로 내세울 만한 만천하스카이워크는 만천학봉 위에 세운 높이 25m의 전망대로 소백산 설경과 단양 시가지를 조망할 수 있다. 남한강 암벽에 기대 자리한 1.12km의 단양강 잔도는 강의 얼음 우는 소리를 들을 수 있다. 최근 문을 연 미디어아트 체험장 팝스월드까지 방문한다면 마늘처럼 알싸한 여행의 즐거움을 단양에서 모두 맛볼 수 있다.</p>","","","181","1040","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1040","","2026-06-02","2025-01-24","","297","","","","","","2026-06-01 00:30:00","Y","11","단양구경시장 043-422-1706 ","","","12","","","","","","","충북 단양군 단양읍 "
"7","1371000","추천여행지","대한민국 정책브리핑","추워야 더 맛있다, 창녕전통시장의 칼칼한 수구레국밥","","20250123132603","","","","","<p>경상남도 창녕군 창녕전통시장은 1900년대 보부상들이 집결하던 큰 시장이었다. 여기저기 흩어져 있던 장을 모아 지금 자리에 개설한 것이 1926년이라 하니 어느덧 백 년 역사를 자랑한다. 오일장이 크게 서는 3일과 8일에는 새벽부터 인산인해를 이룬다. &lsquo;시골장이 커봐야 얼마나 크겠어&rsquo;라고 생각한다면 오산이다. 북적대는 사람들 사이로 이것저것 구경하다 보면 걸어도 걸어도 끝이 보이지 않는다.&nbsp;</p> <p><br /></p> <p>창녕전통시장에서 가장 유명한 것은 전국적인 산지로 꼽히는 마늘도 우리나라에서 처음으로 재배했다는 양파도 아니다. 바로 수구레국밥이다. KBS TV &lsquo;1박2일&rsquo;에서 이수근이 수구레국밥 먹는 장면이 방송을 타면서 창녕 명물로 떠올랐다. 수구레는 소 한 마리에 2kg 정도만 나오는 특수부위다. 시장 주변에 수구레국밥집이 여럿 된다. 가게마다 뜨거운 김이 펄펄 나는 커다란 가마솥이 손님을 유혹한다. 뻘건 국물에 콩나물, 선지, 파 그리고 수구레가 가득 담겼다. 쫀득쫀득한 수구레는 씹으면 씹을수록 고소한 육즙이 입안에 가득 찬다. 창녕 사람들은 국수사리를 넣어 먹는 걸 즐긴다. 숟가락 놓을 때쯤이면 추위에 꽁꽁 얼었던 몸이 싹 녹는다. 생활의 달인에 출연한 달인 꽈배기며 줄이 길게 늘어선 찹쌀호떡은 배가 불러도 포기할 수 없는 시골장의 주전부리다.</p> <p><br /></p> <p>창녕은 조선 시대에 현감을 두었던 큰 고을이었다. 특히 창녕전통시장 주변에 창녕향교, 석빙고, 신라 진흥왕 척경비, 술정리 동 삼층석탑 등 역사 유적이 몰려 있어서 문화유적답사를 겸해도 좋다. 영산면까지 동선을 늘린다면 아름다운 홍예다리(무지개처럼 만든 둥근 다리)인 창녕 영산 만년교를 만날 수 있다. 우포늪에 서식하는 곤충을 직접 만져보고 관찰할 수 있는 창녕생태곤충원, 국민동요 산토끼를 주제로 한 산토끼노래동산을 돌아보면 하루해가 짧기만 하다. 부곡온천에서 국내 온천 중 최고 수온인 78℃ 온천수에 몸을 담그는 일은 겨울 최고의 호사다.&nbsp;</p>","","","181","1041","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1041","","2026-06-02","2025-01-24","","373","","","","","","2026-06-01 00:30:00","Y","13","창녕군 일자리경제과 055-530-1683","","","17","","","","","","","경남 창녕군 창녕읍"
"8","1371000","추천여행지","대한민국 정책브리핑","마음을 녹이는 달콤한 맛과 정, 말바우시장 팥죽","","20250123132646","","","","","<p>말바우시장은 광주광역시 북구 우산동에 자리한 전통시장으로, 무려 500여 개의 다양한 점포가 들어서 호남에서도 큰 규모를 자랑하는 시장이다. 식도락 여행을 온 사람들의 발길이 연중 끊이지 않는데, 그중 가장 첫손에 꼽히는 메뉴가 배도 부르고 몸에도 좋은 팥죽이다. 말바우시장에서 팥을 전문으로 다루는 가게들은 모두 팥죽과 동지죽을 대표 메뉴로 내세운다. 팥죽에는 쫄깃한 면발의 칼국수가 들어 있고, 동지죽에는 몰캉몰캉한 새알심이 들어 있다. 팥죽을 주메뉴로 하는 가게들은 모두 맛과 정성에 대한 자부심이 대단하다. 팥죽을 먹으러 일부러 말바우시장까지 찾아오는 손님들을 생각해 매일 새벽 직접 팥을 씻어 불리고, 불린 팥을 솥에 넣어 팔팔 끓이고, 팥죽에 들어갈 새알심을 손수 빚거나 칼국수면을 반죽해 뽑는다. 손맛이 다르기에 팥죽 맛도 모두 다르다. 밑반찬으로 나오는 김치 맛도 중요하다. 맛집 순례하듯 가게들을 돌아보며 &lsquo;최애(가장 좋아하는)&rsquo; 팥죽집을 찾는 재미가 쏠쏠하다. 한 끼에 5,000원이면 대접 한가득 푸짐한 팥죽을 맛볼 수 있다니 요즘 세상에 흔하지 않은 인심이다.&nbsp;</p> <p><br /></p> <p>5&middot;18민주화운동의 정신과 의미를 기념하며 조성한 국립5&middot;18민주묘지에서는 대한민국 민주주의의 숨결을 느낄 수 있으며, 호남지역의 첫 번째 박물관이자 광복 이후 대한민국이 지은 최초의 지역 국립박물관인 국립광주박물관에서는 선사시대의 유물에서부터 고려와 조선 시대의 청자와 백자, 아시아의 도자기까지 상시 관람할 수 있다. 광주시립미술관은 국내 최초 공립미술관으로서 지역 문화예술의 활기를 담은 유수의 작품을 선사한다. 과거와 현재와 미래가 공존하는 도시 광주에서 2025년의 새 시작을 도모하는 것은 어떨까?&nbsp;</p>","","","181","1042","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1042","","2026-06-02","2025-01-24","","491","","","","","","2026-06-01 00:30:00","Y","04","말바우시장 062-262-4082 ","","","05","","","","","","","광주 북구 동문대로"
"9","1371000","추천여행지","대한민국 정책브리핑","닷새마다 돌아오는 먹거리 축제, 모란민속5일장","","20250123132347","","","","","<p>모란민속5일장은 매월 끝자리가 4, 9일인 날에 열린다. 평일에는 주차장으로 이용되다가 오일장이 서는 장날에는 공터에 천막 지붕이 생기고, 좌판이 들어선다. 찬바람 불고 한기가 옷 속을 파고드니, 뜨거운 것이 당긴다. 꽈배기, 호떡, 뻥튀기, 팥죽, 칼국수, 수구레국밥까지 입맛 돋우고 속을 채워줄 먹거리가 천지다.&nbsp;</p> <p><br /></p> <p>모란민속5일장이 조선 시대부터 규모 면에서 손꼽히는 장시였던 만큼 길을 몰라도 고소함을 따라가면 될 정도로 규모가 큰 백년기름특화거리도 있다. 가게 문을 연 지 40년이 넘는 기름집 40여 곳이 다닥다닥 붙어 있다. 춘천∙천안∙화성∙여주∙강진기름집 등 간판만 봐도 전국 팔도 기름집이 다 모였다. 모란종합시장 상가건물 1층에 위치한 &lsquo;로스팅랩&rsquo;에선 &lsquo;고소함을 걸어요&rsquo;라는 체험 프로그램을 진행한다. 기름 종류별 일반 교육과 기름 압착 과정 시연, 기름시장 골목투어, 깨강정 만들기까지 고소함이 가득한 체험 프로그램이다. 단체 또는 개인별 전화로 예약할 수 있다. 올해 체험 프로그램은 3월부터 운영 예정이지만 단체의 경우 전화로 문의하면 체험 날짜 조율이 가능하다. 도심 한가운데서 열리는 모란민속5일장은 아이들에게는 산 교육장이자 어른들에게는 향수를 달래며 두둑이 배를 채우는 든든한 고향 같은 곳이다.&nbsp;</p> <p><br /></p> <p>단돈 1,000원으로 도심 속 겨울 레포츠를 즐길 수 있는 성남종합운동장 야외썰매장도 지척이다. 현대식 건물로 편의성을 더한 성남중앙공설시장도 함께 둘러볼 만하며 성남시에서 제3호 특화거리로 지정한 백현카페문화거리에서는 달달한 디저트와 함께 겨울을 녹여보자.</p>","","","181","1038","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1038","","2026-06-02","2025-01-24","","451","","","","","","2026-06-01 00:30:00","Y","02","성남시 문화관광과 031-729-8602","","","10","","","","","","","경기 성남시 중원구"
"10","1371000","추천여행지","대한민국 정책브리핑","영동지역 사람들의 삶이 담긴 음식, 북평민속시장 소머리국밥","","20250123132435","","","","","<p>찬바람이 옷깃 사이로 스며드는 날씨, 동해 시내에 오일장이 섰다. 끝자리가 3일과 8일인 날에 열리는 북평민속시장이다. 북평장은 1796년에 시작되었으며, 문화광장은 강원도에서 유명한 쇠전(우시장)이 열렸던 장소다.</p> <p><br /></p> <p>쇠전은 꼭두새벽부터 열렸다. 소를 거래하기 위해 먼 거리를 온 사람들은 거래를 앞두고 막걸리 한 사발과 국밥 한 그릇으로 배를 채웠다. 우시장은 2008년 삼척시 미로면에 새롭게 개장하면서 사라졌지만, 그 흔적은 국밥 거리로 남았다. 동해 주민은 &lsquo;영동지역 사람들에게 북평민속시장의 국밥집은 마음의 고향 같은 장소&rsquo;라고 말한다.&nbsp;</p> <p><br /></p> <p>북평민속시장 국밥집에서 가장 유명한 메뉴는 소머리국밥이다. 가까이에 쇠전과 도살장이 있어 고기를 팔고 남은 소머리나 내장 같은 부위를 구하기 쉬웠으니 그것을 이용한 국밥집이 생기는 것은 당연하였는지도 모른다. 소머리국밥의 맛은 식당마다 다르다. 저마다의 비법이 담긴 레시피를 가지고 요리하기 때문이다. 뽀얀 국물을 내는 식당이 있는가 하면 빨간 국물을 내는 식당도 있다. 각자 취향에 따라 식당을 골라야 하는 이유다.</p> <p><br /></p> <p>묵호 등대 앞 도째비골 스카이밸리는 59m 높이로 세워진 스카이워크다. 동해와 묵호 등대, 묵호항 주변의 풍경을 감상하기에 좋다. 자이언트 슬라이드와 공중 외줄을 자전거로 건너는 스카이 사이클을 타고 스릴도 즐겨보자. 전천 뜬다리정원마루는 길이 265m의 전천 폐철교를 활용해 만든 공간이다. 해가 진 뒤 가로등과 조형물을 비추는 조명이 켜지면 더욱 아름다운 공간이 된다. 추암 촛대바위와 조각공원 일원 역시 테마에 맞게 조명으로 꾸민 풍경을 감상하며 여유롭게 야간 산책을 즐기기 좋은 곳으로 최근 여명빛테마파크라는 이름이 붙었다.&nbsp;</p> <div><br /></div>","","","181","1039","https://www.mcst.go.kr/kor/s_culture/tour/tourView.jsp?pSeq=&pDetailSeq=1039","","2026-06-02","2025-01-24","","368","","","","","","2026-06-01 00:30:00","Y","04","북평민속시장 고객지원센터 033-522-1141","","","11","","","","","","","강원 동해시 구미동"
