TITLE,ISSUEDDATE,CATEGORY1,CATEGORY2,CATEGORY3,INFORMATION,TEL,OPERATINGTIME,ADDRESS,COORDINATES,RNUM
"과카몰레","2022-11-30","음식점/유흥시설","남미음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1368-9998","월-금 11시-21시30분,토-일 11시-21시30분","(17982)경기도 평택시 팽성읍 안정순환로222번길 92","N36.960756, E127.043367","1"
"구스토타코","2022-11-30","음식점/유흥시설","남미음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-338-8226","화-금 11시30분-22시,토-일 11시30분-22시","(04049)서울특별시 마포구 와우산로 41","N37.548145, E126.922793","2"
"구씨네부엌","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","02-333-9931","화-금 11시30분-21시20분,토 11시30분-21시20분","(03785)서울특별시 서대문구 신촌로 9","N37.558586, E126.928073","3"
"곰타코","2022-11-30","음식점/유흥시설","남미음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","070-4233-4836","화-금 11시30분-23시,토-일 11시30분-23시","(10445)경기도 고양시 일산동구 백석로108번길 6-8","N37.648706, E126.788922","4"
"곰파곰파의뜨라또리아","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","","월-화,목-금 11시30분-21시30분,토 11시30분-21시30분,일 12시-21시30분","(01442)서울특별시 도봉구 노해로 230","N37.650993, E127.033636","5"
"구포파스타","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1329-5774","화-금 11시30분-24시 ,토 12시-24시,일 12시-22시","(05548)서울특별시 송파구 올림픽로32길 22","N37.514091, E127.109392","6"
"국빈장","2022-11-30","음식점/유흥시설","동아시아음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","031-335-1230","월,수-금 10시-21시,토-일 10시-21시","(17048)경기도 용인시 처인구 금령로13번길 5","N37.235449, E127.19766","7"
"국수진","2022-11-30","음식점/유흥시설","동남아시아음식","","무료주차 가능|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1371-1280","월-금 10시-21시,토 10시-21시","(16845)경기도 용인시 수지구 수지로 217","N37.320604, E127.084081","8"
"공간 소이헌","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","042-252-3835","월-금 10시30분-21시,토-일 10시30분-21시","(34846)대전광역시 중구 선화로97번길 59-2","N36.331869, E127.416376","9"
"공릉동도깨비","2022-11-30","음식점/유흥시설","유럽음식","","무료주차 불가|발렛주차 불가|유아의자 대여 불가|휠체어 대여 불가|반려동물 동반 입장불가|채식 메뉴 없음|할랄음식 메뉴 없음|글루텐프리 메뉴 없음","0507-1435-5890","월-금 11시-20시,토 11시-14시30분","(01848)서울특별시 노원구 동일로178길 14","N37.621111, E127.075514","10"
