inputQuery,id,type,caption,hashtags,likesCount,commentsCount,timestamp,url
gyeongju,3940353295588696524,Sidecar,"진짜 여름 ☼ 𓂃𓈒𓏸 🌿

𖧷 ˚₊‧

#경주카페 #병과점아시 

#경주여행 #대릉원 #gyeongju","['경주카페', '병과점아시', '경주여행', '대릉원', 'gyeongju']",27.0,4,2026-07-13T12:45:38.000Z,https://www.instagram.com/p/Dau8nIJGqHM/
gyeongju,3940350309838799254,Video,#경주여행 #대릉원 #gyeongju,"['경주여행', '대릉원', 'gyeongju']",,0,2026-07-13T12:45:36.000Z,https://www.instagram.com/p/Dau77rcisGW/
gyeongju,3940336932996005147,Sidecar,"🐾 | bongsik

봉식이랑 함께한 경주 여행에서
가장 오래 기억에 남은 곳.🤍

바로 경주 애견동반 숙소 ’희동댁‘이었어요.

여행을 다녀오면 꼭 한 곳 정도는
’다음에도 또 와야겠다.‘ 싶은 곳이 생기잖아요.
희동댁이 저희한테는 딱 그런 곳이었어요.

빈티지한 분위기에 예쁜 정원까지.
숙소에 들어가자마자
괜히 마음이 편안해지더라고요.

봉식이도 여기저기 천천히 냄새 맡고,
정원에서 여유롭게 쉬는 모습이 너무 좋아 보여서
저희도 같이 쉬어가는 기분이었어요.🐾

여행 다니다 보면
잠만 자고 나오는 숙소도 많은데,
여기는 조금 더 머물고 싶고,
아침에도 천천히 커피 한 잔 마시고 싶었던 곳이었어요.

작년부터 가보고 싶었던 곳이었는데
덕분에 이번 경주 여행이
더 좋은 기억으로 남은 것 같아요.🤍

경주에서 조용하고 감성적인
애견동반 숙소를 찾고 계신다면
한 번 들러보셔도 좋을 것 같습니다.☺️

#경주애견동반 
#애견동반숙소 
#희동댁 
#반려견여행 
#강아지여행","['경주애견동반', '애견동반숙소', '희동댁', '반려견여행', '강아지여행']",15.0,9,2026-07-13T12:13:08.000Z,https://www.instagram.com/p/Dau45BSlD0b/
gyeongju,3940332667380401792,Sidecar,"최근 경주에 새로 생긴 공간부터 더 예쁘게 돌아온 곳들 다녀온 곳들로 모아 봤습니다. 
저장 공유하시고 경주 여행에 조금이나마 도움되시길 바라요!🤍

#경주 #경주카페 #경주신상카페#경주여행 #경주신상카페추천 

아차차
차가 낯선 분들도 가볍게 즐길 수 있는 티카페! 리뉴얼 후 훨씬 더 예쁘고 감성 가득한 공간으로 돌아왔어요.🍸✨

#아차차 #경주티카페 #티카페 #경주찻집 

무드밋
황오동에 가장 최근에 생긴 신상카페.
잔을 얼려서 주는 시그니처 ’무드밋라떼‘와 상큼한 소르베는 필수 주문!🍧 

#무드밋 #황오동카페 #황오동 

다향한빙수집 
경주에서 만나는 일본 감성 빙수 맛집.🍧
1인 빙수도 준비되어 있어서 부담 없이 다양한 맛을 골라 즐기기 좋아요.

#다향한빙수집 #금리단길카페 #경주빙수맛집 #토마토빙수 

이어커피 
(구) 릿카페가 황성동으로 이전! 
전보다 다양해진 디저트 라인업을 만나보세요.

#이어커피 #황성동카페 #경주신상카페 

후 (소품샵)🕯️
황오동에 새로 오픈한 아기자기한 양초 공방. 
작지만 깔끔한 공간에 예쁜 티코스터가 자꾸 눈에 아른거리는••🤍

#후 #경주소품샵","['경주', '경주카페', '경주신상카페', '경주여행', '경주신상카페추천', '아차차', '경주티카페', '티카페', '경주찻집', '무드밋', '황오동카페', '황오동', '다향한빙수집', '금리단길카페', '경주빙수맛집', '토마토빙수', '이어커피', '황성동카페', '후', '경주소품샵']",-1.0,10,2026-07-13T12:04:39.000Z,https://www.instagram.com/p/Dau368oE4aA/
gyeongju,3940323691518825957,Sidecar,폭염경주의보 🥵☀️,[],-1.0,2,2026-07-13T11:46:49.000Z,https://www.instagram.com/p/Dau14VNCRXl/
gyeongju,3940319909573647187,Sidecar,"2026.01 경주 10: 한옥과 고양이🐱

#경주 #경주한옥 #고양이 #gyeongju #hanok","['경주', '경주한옥', '고양이', 'gyeongju', 'hanok']",25.0,1,2026-07-13T11:39:18.000Z,https://www.instagram.com/p/Dau1BS_iVtT/
gyeongju,3940277579190732528,Sidecar,"Gyeongju – koreańskie muzeum pod gołym niebem! Tutaj historia jest dosłownie na każdym kroku. 

#Gyeongju #SouthKorea #Korea #Travel #Podróże","['Gyeongju', 'SouthKorea', 'Korea', 'Travel', 'Podróże']",-1.0,0,2026-07-13T10:15:12.000Z,https://www.instagram.com/p/DaurZTwGYbw/
gyeongju,3940277305965353968,Sidecar,".
첨성대의 밤🌟

첨성대 야경 보러 갔다가
우연히 본 첨성대 미디어파사드예요.
첫번째 패턴 내 스타일♥️

⏰ 공연 시간: 8:30, 9:30

역사와 현대가 만나는 순간을 놓치지 마세요.

📍 경주 첨성대",[],-1.0,11,2026-07-13T10:14:40.000Z,https://www.instagram.com/p/DaurVVSmRvw/
gyeongju,3940255515725192294,Sidecar,"경주 월정교

#gyeongju #woljunggyo #경주 #월정교 #야경","['gyeongju', 'woljunggyo', '경주', '월정교', '야경']",-1.0,0,2026-07-13T09:31:22.000Z,https://www.instagram.com/p/DaumYPjEtxm/
gyeongju,3940239345359287222,Image,"Are you ready for next week? 
We’ll be in South Korea on Monday. 

Day 1: Seoul
Day 2: Incheon 
Day 3: Jeonju 
Day 4: Busan 
Day 5: Gyeongju 
Day 6: Daegu 
Day 7: Sokcho

#Seoul #Incheon #Jeonju #Busan #Gyeongju Daegu Sokcho southkorea","['Seoul', 'Incheon', 'Jeonju', 'Busan', 'Gyeongju']",0.0,0,2026-07-13T08:59:22.000Z,https://www.instagram.com/p/Dauis7uKHO2/
starfieldsuwon,3940115159449094665,Sidecar,"Il lusso di poter scegliere un vinile, appoggiare la puntina e lasciare che il tempo rallenti.

Da VINYL, alla Starfield di Suwon, funziona così: ordini qualcosa da bere, scegli fino a tre album dalla collezione e hai tutto il tempo che vuoi per ascoltarli sul tuo giradischi privato, seduto su comodi divanetti con vista su una delle librerie più iconiche della Corea.

Niente playlist infinite, notifiche o algoritmi. Solo musica, copertine da sfogliare e quel piccolo rito che rende ogni ascolto diverso dal precedente.

#SuwonHiddenGem #StarfieldSuwon #LifeInKorea #VinylLovers #한국카페추천","['SuwonHiddenGem', 'StarfieldSuwon', 'LifeInKorea', 'VinylLovers', '한국카페추천']",4.0,0,2026-07-13T04:52:30.000Z,https://www.instagram.com/p/DauGdylGEoJ/
