데이터_출처,기준년월일,지역,지역 관광소비액(백만원),업종별 구분,소비액(천원),카테고리 대분류,카테고리 중분류,카테고리 대분류 소비 비율,카테고리 중분류 소비 비율,국가,소비 비율,기준년월,업종,소비금액(천원),국적,비율
외국인 관광소비 추이,202506.0,전국,1234801.0,,,,,,,,,,,,,
외국인 관광소비 추이,202507.0,전국,1219021.0,,,,,,,,,,,,,
외국인 관광소비 추이,202508.0,전국,1232453.0,,,,,,,,,,,,,
외국인 관광소비 추이,202509.0,전국,1313533.0,,,,,,,,,,,,,
외국인 관광소비 추이,202510.0,전국,1413814.0,,,,,,,,,,,,,
외국인 관광소비 추이,202511.0,전국,1462306.0,,,,,,,,,,,,,
외국인 관광소비 추이,202512.0,전국,1437981.0,,,,,,,,,,,,,
외국인 관광소비 추이,202601.0,전국,1130633.0,,,,,,,,,,,,,
외국인 관광소비 추이,202602.0,전국,1027844.0,,,,,,,,,,,,,
외국인 관광소비 추이,202603.0,전국,1711525.0,,,,,,,,,,,,,
외국인 관광소비 추이,202604.0,전국,1992376.0,,,,,,,,,,,,,
외국인 관광소비 추이,202605.0,전국,2122157.0,,,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,전체,1234800657.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,전체,1219020780.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,전체,1232453496.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,전체,1313532520.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,전체,1413814402.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,전체,1462306342.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,전체,1437980668.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,전체,1130633204.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,전체,1027843956.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,전체,1711524662.0,,,,,,,,,,,
업종별 관광소비 추이,202604.0,,,전체,1992376171.0,,,,,,,,,,,
업종별 관광소비 추이,202605.0,,,전체,2122156788.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,운송업,111096266.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,숙박업,288136843.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,쇼핑업,429091864.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,여가서비스업,16499511.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,의료웰니스업,216096593.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,여행업,1854055.0,,,,,,,,,,,
업종별 관광소비 추이,202506.0,,,식음료업,172025526.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,운송업,121184439.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,숙박업,290131720.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,여행업,1502790.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,쇼핑업,428292674.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,여가서비스업,15999936.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,의료웰니스업,199854250.0,,,,,,,,,,,
업종별 관광소비 추이,202507.0,,,식음료업,162054971.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,숙박업,312327913.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,운송업,125807155.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,쇼핑업,424531141.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,여가서비스업,14803934.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,의료웰니스업,190085773.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,여행업,1578680.0,,,,,,,,,,,
업종별 관광소비 추이,202508.0,,,식음료업,163318900.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,운송업,129053101.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,숙박업,297587848.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,여행업,1935116.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,쇼핑업,448263449.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,여가서비스업,14322938.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,의료웰니스업,243940691.0,,,,,,,,,,,
업종별 관광소비 추이,202509.0,,,식음료업,178429377.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,숙박업,331858223.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,여행업,2186092.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,쇼핑업,496059951.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,여가서비스업,16770177.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,의료웰니스업,242216848.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,식음료업,196585387.0,,,,,,,,,,,
업종별 관광소비 추이,202510.0,,,운송업,128137724.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,식음료업,193474615.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,숙박업,308248819.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,운송업,128361928.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,쇼핑업,537049075.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,여가서비스업,14932187.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,의료웰니스업,278654809.0,,,,,,,,,,,
업종별 관광소비 추이,202511.0,,,여행업,1584909.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,숙박업,301470873.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,여행업,1796472.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,쇼핑업,534464102.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,여가서비스업,14514250.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,의료웰니스업,286466814.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,식음료업,183515773.0,,,,,,,,,,,
업종별 관광소비 추이,202512.0,,,운송업,115752384.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,식음료업,142004736.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,숙박업,246261525.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,운송업,125345476.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,쇼핑업,414313171.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,여가서비스업,11203329.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,의료웰니스업,189326582.0,,,,,,,,,,,
업종별 관광소비 추이,202601.0,,,여행업,2178385.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,숙박업,232937482.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,여행업,1771559.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,쇼핑업,380182572.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,여가서비스업,11186770.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,의료웰니스업,162437177.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,식음료업,129379860.0,,,,,,,,,,,
업종별 관광소비 추이,202602.0,,,운송업,109948536.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,식음료업,228415515.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,숙박업,337160514.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,운송업,176292674.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,쇼핑업,613359587.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,여가서비스업,59737338.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,의료웰니스업,294322732.0,,,,,,,,,,,
업종별 관광소비 추이,202603.0,,,여행업,2236302.0,,,,,,,,,,,
업종별 관광소비 추이,202604.0,,,숙박업,384935636.0,,,,,,,,,,,
업종별 관광소비 추이,202604.0,,,식음료업,273565566.0,,,,,,,,,,,
업종별 관광소비 추이,202604.0,,,의료웰니스업,356145023.0,,,,,,,,,,,
